tnp,twp,iap,esp,fq,mq,sh,atd,arr_Y,as_Paid,fo_Farmer,fo_Retired,fo_Service,mo_Business,mo_Others,mo_Service,ss_Private,me_Ben,me_Eng,me_Hin,cst_G,cst_MOBC,cst_OBC
3,2,3,3,2,2,0,2,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
3,3,3,4,4,5,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
3,2,3,3,2,1,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
3,2,3,2,3,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
3,3,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,2,3,3,2,2,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
2,2,3,2,1,1,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,2,2,2,5,4,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0
3,3,2,2,3,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,2,2,2,3,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,2,3,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,3,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
2,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,3,3,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
4,3,2,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
3,3,3,3,4,3,2,2,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0
3,3,3,3,2,1,1,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
3,3,3,3,4,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
3,2,2,3,1,1,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2,2,2,4,1,1,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
3,4,4,4,2,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
4,3,3,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3,3,3,3,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
3,3,2,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3,1,1,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,4,4,3,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
3,4,4,4,4,4,2,2,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
4,3,4,4,4,2,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2,2,2,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,3,3,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
4,3,4,4,4,3,2,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,2,3,3,4,4,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,3,3,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,3,4,4,3,2,2,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
3,3,3,3,5,5,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
4,4,3,3,3,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,3,3,2,1,1,2,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
4,3,4,3,4,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,3,3,2,5,3,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
3,3,3,3,3,1,2,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,3,3,3,3,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,3,2,1,3,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,2,3,3,1,1,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
2,2,3,2,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,2,3,3,1,1,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1,2,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,4,3,4,3,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,3,3,3,1,1,2,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
4,3,3,3,2,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2,2,2,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2,1,2,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,3,2,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,2,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,2,2,2,3,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
1,2,2,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,5,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
1,1,2,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,2,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
2,2,2,2,4,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,1,2,1,3,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
2,2,2,2,1,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,2,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
3,3,3,3,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
2,2,2,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2,2,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,3,3,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
2,2,2,1,2,2,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2,2,3,2,1,1,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
3,2,3,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2,1,3,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,2,3,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,3,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2,1,3,1,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,3,3,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,2,2,2,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,2,1,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,2,3,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,1,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,2,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,2,2,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,4,3,3,4,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3,2,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,3,3,3,3,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2,3,3,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,1,3,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,2,2,2,3,1,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1
2,2,3,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,2,1,2,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,2,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,3,2,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,2,3,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
